Company_Name,New_Hires_Approved_2025,Approval_Rate_%,H1B_Priority_Score,Sponsorship_Tier,Industry,City,State,Scrape_Order,ATS_Type
UT-BATTELLE LLC ORNL,83.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",OAK RIDGE,TN,51,Workday/Custom (Likely)
NAGARRO INC,51.0,98.1,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",SAN JOSE,CA,52,Workday/Custom (Likely)
FORTINET INC,66.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",SUNNYVALE,CA,53,Workday/Custom (Likely)
HEXAWARE TECHNOLOGIES INC,82.0,98.8,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",ISELIN,NJ,54,Greenhouse/Lever (Likely)
PERSISTENT SYSTEMS LIMITED DBA PERSISTENT SYSTEMS LIMITED USA BRANCH,73.0,98.6,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",SANTA CLARA,CA,55,Unknown
ULTIMUS SOLUTIONS INC,68.0,95.8,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",MIAMI,GA,56,Workday/Custom (Likely)
WSP USA INC,94.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",NEW YORK,NY,57,Workday/Custom (Likely)
DATABRICKS INC,69.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",SAN FRANCISCO,CA,58,Greenhouse/Lever (Likely)
DISH WIRELESS LLC,68.0,95.8,60,Tier 2 - Medium Volume (50-99 new hires),51 - Information,ENGLEWOOD,CO,59,Workday/Custom (Likely)
JEFFERIES LLC,52.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),52 - Finance and Insurance,NEW YORK,NY,60,Workday/Custom (Likely)
NATIONAL INSTITUTES OF HEALTH HHS,55.0,98.2,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",BETHESDA,MD,61,Unknown
VISA U S A INC,75.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),52 - Finance and Insurance,FOSTER CITY,CA,62,Workday/Custom (Likely)
DELOITTE TAX LLP,91.0,98.9,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",PHILADELPHIA,PA,63,Workday
AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,94.0,97.9,60,Tier 2 - Medium Volume (50-99 new hires),52 - Finance and Insurance,NEW YORK,NY,64,Workday/Custom (Likely)
VIRTUSA CORPORATION,58.0,98.3,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",SOUTHBOROUGH,MA,65,Workday/Custom (Likely)
INFOCONS INC,69.0,97.2,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",WILMINGTON,DE,66,Workday/Custom (Likely)
GOLDMAN SACHS BANK USA,67.0,98.5,60,Tier 2 - Medium Volume (50-99 new hires),52 - Finance and Insurance,NEW YORK,NY,67,Workday
SNAP INC,84.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),51 - Information,SANTA MONICA,CA,68,Workday/Custom (Likely)
WELLS FARGO BANK N A,61.0,98.4,60,Tier 2 - Medium Volume (50-99 new hires),52 - Finance and Insurance,SIOUX FALLS,SD,69,Workday (Likely)
BATTELLE MEMORIAL INSTITUTE,50.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",RICHLAND,WA,70,Unknown
NETFLIX INC,54.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),51 - Information,LOS GATOS,CA,71,Workday/Custom (Likely)
MPHASIS CORPORATION,91.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",NEW YORK,NY,72,Workday/Custom (Likely)
MORGAN STANLEY AND CO LLC,91.0,98.9,60,Tier 2 - Medium Volume (50-99 new hires),52 - Finance and Insurance,NEW YORK,NY,73,Workday
L AND T TECHNOLOGY SERVICES LTD,73.0,98.6,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",EDISON,NJ,74,Greenhouse/Lever (Likely)
SNOWFLAKE INC,67.0,97.1,60,Tier 2 - Medium Volume (50-99 new hires),51 - Information,MENLO PARK,CA,75,Workday/Custom (Likely)
FIS MANAGEMENT SERVICES LLC,52.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",NEW YORK,NY,76,Workday/Custom (Likely)
MPG OPERATIONS LLC,58.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),52 - Finance and Insurance,NEW YORK,NY,77,Workday/Custom (Likely)
PALO ALTO NETWORKS INC,68.0,98.6,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",SANTA CLARA,CA,78,Workday/Custom (Likely)
GOVERNMENT EMPLOYEE INSURANCE COMPANY GEICO,86.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),52 - Finance and Insurance,CHEVY CHASE,MD,79,Unknown
PALANTIR TECHNOLOGIES INC,55.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",DENVER,CO,80,Greenhouse/Lever (Likely)
HEWLETT PACKARD ENTERPRISE COMPANY,61.0,98.4,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",SPRING,TX,81,Unknown
BANK OF AMERICA N A,69.0,98.6,60,Tier 2 - Medium Volume (50-99 new hires),52 - Finance and Insurance,CHARLOTTE,NC,82,Workday (Likely)
CITIUSTECH INC,59.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",PRINCETON,NJ,83,Greenhouse/Lever (Likely)
